Country Name,TimePeriod,Indicator,Subgroup,DataValue
India,2011-12,1.1.1: Poverty Gap Ratio,Rural,5.05
India,2011-12,1.1.1: Poverty Gap Ratio,Urban,2.7
India,2011-12,1.2.1: Proportion of population living below the national poverty line,Total,21.9
India,2015-16,1.3.1: Percentage of households with any usual member covered by a health scheme or health insurance,Total,28.7
India,2015-16,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),102131284
India,2016-17,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),98342390
India,2017-18,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),89276933
India,2018-19,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),87560671
India,2019-20,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),85505148
India,2020-21,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),81654722
India,2015-16,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,85.5
India,2016-17,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,85.3
India,2017-18,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,84.7
India,2018-19,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,85.2
India,2019-20,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,84.4
India,2015-16,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,18.32
India,2016-17,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,18.98
India,2017-18,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,22.61
India,2018-19,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,26.98
India,2019-20,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,31.46
India,2017-18,1.3.5: Proportion of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY),Total,91.66
India,2018-19,1.3.5: Proportion of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY),Total,92.17
India,2019-20,1.3.5: Proportion of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY),Total,91.38
India,2015-16,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,23095
India,2016-17,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,40200
India,2017-18,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,40450
India,2018-19,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,34920
India,2019-20,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,41655
India,2020-21,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,50860
India,2015-16,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,21728521
India,2016-17,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,24229144
India,2017-18,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,22395518
India,2018-19,1.3.7: Number of beneficiaries added under Employee�s Pension Scheme (EPS) during the year,Total,23423696
India,2015-16,1.3.8: Coverage of New Pension Scheme (NPS),Total,9750406
India,2016-17,1.3.8: Coverage of New Pension Scheme (NPS),Total,10575160
India,2017-18,1.3.8: Coverage of New Pension Scheme (NPS),Total,11570930
India,2018-19,1.3.8: Coverage of New Pension Scheme (NPS),Total,12399659
India,2019-20,1.3.8: Coverage of New Pension Scheme (NPS),Total,13412639
India,2020-21,1.3.8: Coverage of New Pension Scheme (NPS),Total,14390543
India,2019-20,1.4.1: Proportion of population living in households with access to basic services,Total,Yes
India,2015-16,1.4.2: Number of telephone subscriptions as percentage of total population,Total,83.4
